Family,Individual,RandomNmbr,Population,Elk?,Notes,Florettes,Flors per stalk,Date of Flwr,Date of Srvy,Total Height(mm),Stalks,Grey Beetle,Aphid,Ant,BlackOrangeWasp,Syrphid Fly,RedBlackFly,LargeHairyFly,Tiny Fly,GreenTrueBug,SkinnyBlackFly,BlackYellowFly,TinyRedSpider,BrightGreenFly,GreyMoth,BlackWasp,Wasp,HumpbackFly,Thrips,SkinnyBee,FruitFly,BrownFly,HoneyBee,BigBlackFly,BlackGreyFly,Microbutterfly,LongHornBeetle,BrightGreenSpider,SkinnyBrownSpider,BlackWhiteFly,OrangeYellowHairyBee,BlackOrangeButterfly
FS 16,C,0.514646034,FS,,,177,177,63,65,586,1,54,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,E,0.092141716,FS,,,55,18.33333333,67,70,285,3,14,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FS 16,F,0.431271983,FS,,,143,35.75,67,,416,4,3,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,G,0.126802301,FS,,,21,10.5,70,,308,2,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,H,0.840469131,FS,,,34,17,72,,316,2,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,I,0.496351342,FS,,,39,9.75,72,,249,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,K,0.078965442,FS,,,60,20,77,,376,3,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,L,0.593403175,FS,,,50,16.66666667,84,,231,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,M,0.706408472,FS,,,17,5.666666667,86,,322,3,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,N,0.21419909,FS,,,15,7.5,86,,175,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,oA,0.071537926,FS,,,97,32.33333333,56,,396,3,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,oB,0.325759721,FS,,,89,14.83333333,56,,378,6,13,6,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,oD,0.813235986,FS,,,45,22.5,63,,398,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 16,oJ,0.22981518,FS,,,38,9.5,77,,363,4,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FS 17,A,0.430716145,FS,,,30,10,63,,323,3,27,10,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 17,B,0.070120767,FS,,,50,25,63,,281,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 17,D,0.467331443,FS,,,64,32,77,,278,2,4,122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 17,E,0.389327472,FS,,,108,108,77,,342,1,2,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 17,F,0.546168319,FS,,,19,19,77,,177,1,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 18,oA,0.548880804,FS,,,281,140.5,35,,439,2,34,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FS 18,oB,0.694561468,FS,,,46,23,60,,331,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
